sep=,
index,date,time,precipitation past hour (ml),atmospheric pressure past hour (mb),max air pressure past hour (mb),min air pressure past hour (mb),solar radiation (KJ/m2),air temperature (instant) (C),dew point temperature (instant) (C),max temperature past hour (C),min temperature past hour (C),max dew point temperature past hour (C),min dew point temperature past hour (C),max relative humid temperature past hour  (%),min relative humid temperature past hour (%),relative humid (% instant),wind direction (radius degrees),wind gust (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
61864,2010-01-01,00:00:00,0,1007.6,1007.6,1006.8,-9999,24.5,23.2,24.6,24.1,23.2,22.7,92,92,92,90,0,0,N,PA,BRAGANCA,A226,-1.04527777,-46.78277777,33
133680,2010-01-01,00:00:00,0,1010.2,1010.3,1009.6,-9999,25.1,23,25.3,25,23.1,22.7,88,86,88,322,3.3,1.4,N,PA,SOURE,A227,-0.81111111,-48.51583333,11
338232,2010-01-01,00:00:00,0.6,994.6,994.6,993.4,-9999,26.6,24.9,27,26.5,25,24.5,91,86,91,252,4.4,0.9,N,PA,TUCURUI,A229,-3.82277777,-49.67499999,148
390792,2010-01-01,00:00:00,0,931.9,931.9,931.4,-9999,21.1,20,21.4,21.1,20.3,20,94,93,93,248,9.1,5.6,N,PA,SERRA DOS CARAJAS,A230,-6.07749999,-50.14222221,719
9304,2010-01-01,00:00:00,0,1007.7,1007.7,1006.5,-9999,26.5,22.5,26.7,26.4,22.6,22.4,79,78,79,-9999,1.6,0.1,N,PA,ITAITUBA,A231,-4.27638888,-55.99305555,13
44344,2010-01-01,00:00:00,0,990.9,990.9,989.5,-9999,24,22,24.2,23.9,22,21.8,89,87,89,348,2.8,1.3,N,PA,SANTANA DO ARAGUAIA,A233,-9.3386111,-50.35027777,168
329472,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,TUCUMA,A234,-6.7436111,-51.14222221,317
382032,2010-01-01,00:00:00,0,998.5,998.5,997.6,-9999,25,22.6,25.4,25,23.1,22.6,87,86,87,196,5.4,0.3,N,PA,NOVO REPARTIMENTO,A235,-4.23444444,-49.94277777,106
37320,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,CAMETA,A236,-2.2486111,-49.49305555,22
168720,2010-01-01,00:00:00,0,997.7,997.7,997,-9999,25.5,23.8,26.5,25.4,23.9,23.4,91,83,90,116,2.6,1.2,N,PA,MARABA,A240,-5.16722221,-49.37916666,116
72360,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,CONCEICAO DO ARAGUAIA,A241,-8.25916666,-49.27416666,180
233112,2010-01-01,00:00:00,0,1011,1011,1009.7,-9999,23.5,22.6,24.1,23.5,22.8,22.5,94,92,94,65,2,0.5,N,AP,OIAPOQUE,A242,3.81361111,-51.8625,21
53104,2010-01-01,00:00:00,0.2,1000.2,1000.2,999.1,-9999,25.5,24.1,26.7,25.5,24.2,23.2,92,82,92,47,1.2,0.4,N,RO,PORTO VELHO,A925,-8.76388888,-63.47499999,98
18064,2010-01-01,00:00:00,0,944.4,944.4,943.9,-9999,20.4,19.5,20.5,20.3,19.6,19.4,95,94,95,5,4.2,1.4,N,RO,VILHENA,A938,-12.73472221,-60.15777777,590
19800,2010-01-01,00:00:00,0,987.7,987.7,987.3,-9999,23.3,22,23.5,23.3,22.1,21.8,92,91,92,198,1.6,0.8,N,RO,CACOAL,A939,-11.44583333,-61.43416666,210
224352,2010-01-01,00:00:00,0,994.6,994.6,993.7,-9999,24.4,22.2,25.1,24.2,23,21.7,92,82,88,343,1.9,1.3,N,RO,ARIQUEMES,A940,-9.94888888,-62.96194444,140
46081,2010-01-01,01:00:00,0,979.3,979.3,978.2,-9999,23.8,21.4,24,23.8,21.6,21.2,87,85,86,12,1.9,1.3,N,TO,PALMAS,A009,-10.18333333,-48.3,280
107401,2010-01-01,01:00:00,0.2,979.5,979.5,978.6,-9999,23.2,22,23.3,23.1,22,21.8,93,91,93,140,1.7,0,N,TO,PARANA,A010,-12.615,-47.87194443,280
81121,2010-01-01,01:00:00,0,983,983,982.1,-9999,23,22.3,23,22.9,22.3,22.2,96,96,96,10,1.6,0,N,TO,PEIXE,A018,-12.01666666,-48.55,242
8761,2010-01-01,01:00:00,0.2,979.9,979.9,978.9,-9999,23.3,22.4,23.3,23.1,22.4,22,95,93,95,40,0.9,0.1,N,TO,GURUPI,A019,-11.74583333,-49.04972221,287
